,iteration,tn,fp,fn,tp,lr
0,500,0,172,0,78,0.0
1,500,172,0,78,0,0.3
2,500,172,0,78,0,0.6
3,500,172,0,78,0,0.8999999999999999
4,500,172,0,78,0,1.2
5,500,172,0,78,0,1.5
6,500,172,0,78,0,1.7999999999999998
7,500,172,0,78,0,2.1
8,500,172,0,78,0,2.4
9,500,172,0,78,0,2.6999999999999997
10,500,172,0,78,0,3.0
11,500,172,0,78,0,3.3
12,500,172,0,78,0,3.5999999999999996
13,500,172,0,78,0,3.9
14,500,172,0,78,0,4.2
15,500,172,0,78,0,4.5
16,500,172,0,78,0,4.8
17,1000,0,172,0,78,0.0
18,1000,172,0,78,0,0.3
19,1000,172,0,78,0,0.6
20,1000,172,0,78,0,0.8999999999999999
21,1000,172,0,78,0,1.2
22,1000,172,0,78,0,1.5
23,1000,172,0,78,0,1.7999999999999998
24,1000,172,0,78,0,2.1
25,1000,172,0,78,0,2.4
26,1000,172,0,78,0,2.6999999999999997
27,1000,172,0,78,0,3.0
28,1000,172,0,78,0,3.3
29,1000,172,0,78,0,3.5999999999999996
30,1000,172,0,78,0,3.9
31,1000,172,0,78,0,4.2
32,1000,172,0,78,0,4.5
33,1000,172,0,77,1,4.8
34,2000,0,172,0,78,0.0
35,2000,172,0,78,0,0.3
36,2000,172,0,78,0,0.6
37,2000,172,0,78,0,0.8999999999999999
38,2000,172,0,78,0,1.2
39,2000,172,0,78,0,1.5
40,2000,172,0,78,0,1.7999999999999998
41,2000,172,0,78,0,2.1
42,2000,171,1,77,1,2.4
43,2000,169,3,76,2,2.6999999999999997
44,2000,167,5,74,4,3.0
45,2000,168,4,70,8,3.3
46,2000,167,5,67,11,3.5999999999999996
47,2000,156,16,57,21,3.9
48,2000,160,12,59,19,4.2
49,2000,164,8,58,20,4.5
50,2000,165,7,62,16,4.8
51,3000,2,170,0,78,0.0
52,3000,172,0,78,0,0.3
53,3000,172,0,78,0,0.6
54,3000,172,0,78,0,0.8999999999999999
55,3000,172,0,78,0,1.2
56,3000,172,0,78,0,1.5
57,3000,169,3,71,7,1.7999999999999998
58,3000,169,3,74,4,2.1
59,3000,162,10,69,9,2.4
60,3000,170,2,71,7,2.6999999999999997
61,3000,158,14,53,25,3.0
62,3000,164,8,53,25,3.3
63,3000,157,15,49,29,3.5999999999999996
64,3000,162,10,47,31,3.9
65,3000,163,9,43,35,4.2
66,3000,156,16,46,32,4.5
67,3000,161,11,46,32,4.8
68,4000,0,172,0,78,0.0
69,4000,172,0,78,0,0.3
70,4000,172,0,78,0,0.6
71,4000,172,0,78,0,0.8999999999999999
72,4000,172,0,78,0,1.2
73,4000,171,1,74,4,1.5
74,4000,171,1,71,7,1.7999999999999998
75,4000,166,6,58,20,2.1
76,4000,164,8,61,17,2.4
77,4000,160,12,54,24,2.6999999999999997
78,4000,154,18,45,33,3.0
79,4000,163,9,49,29,3.3
80,4000,158,14,46,32,3.5999999999999996
81,4000,154,18,41,37,3.9
82,4000,153,19,45,33,4.2
83,4000,159,13,44,34,4.5
84,4000,155,17,43,35,4.8
85,5000,0,172,0,78,0.0
86,5000,172,0,78,0,0.3
87,5000,172,0,78,0,0.6
88,5000,169,3,77,1,0.8999999999999999
89,5000,169,3,69,9,1.2
90,5000,167,5,65,13,1.5
91,5000,164,8,50,28,1.7999999999999998
92,5000,158,14,53,25,2.1
93,5000,162,10,48,30,2.4
94,5000,157,15,45,33,2.6999999999999997
95,5000,163,9,42,36,3.0
96,5000,160,12,42,36,3.3
97,5000,156,16,49,29,3.5999999999999996
98,5000,161,11,41,37,3.9
99,5000,155,17,41,37,4.2
100,5000,157,15,42,36,4.5
101,5000,159,13,37,41,4.8
